status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Steady-state,1542,true,false,ortho,4,14,chart,6->hashmap,m1
Startup,2594,false,true,ortho,0,15,chart,6->hashmap,m1
Warmup,1633,false,false,ortho,1,15,chart,6->hashmap,m1
Warmup,1550,false,false,ortho,2,15,chart,6->hashmap,m1
Warmup,1546,false,false,ortho,3,15,chart,6->hashmap,m1
Steady-state,1540,true,false,ortho,4,15,chart,6->hashmap,m1
Startup,2673,false,true,ortho,0,16,chart,6->hashmap,m1
Warmup,1656,false,false,ortho,1,16,chart,6->hashmap,m1
Warmup,1568,false,false,ortho,2,16,chart,6->hashmap,m1
Warmup,1562,false,false,ortho,3,16,chart,6->hashmap,m1
Steady-state,1554,true,false,ortho,4,16,chart,6->hashmap,m1
Startup,2623,false,true,ortho,0,17,chart,6->hashmap,m1
Warmup,1635,false,false,ortho,1,17,chart,6->hashmap,m1
Warmup,1561,false,false,ortho,2,17,chart,6->hashmap,m1
Warmup,1561,false,false,ortho,3,17,chart,6->hashmap,m1
Steady-state,1553,true,false,ortho,4,17,chart,6->hashmap,m1
Startup,2616,false,true,ortho,0,18,chart,6->hashmap,m1
Warmup,1628,false,false,ortho,1,18,chart,6->hashmap,m1
Warmup,1579,false,false,ortho,2,18,chart,6->hashmap,m1
Warmup,1557,false,false,ortho,3,18,chart,6->hashmap,m1
Steady-state,1560,true,false,ortho,4,18,chart,6->hashmap,m1
Startup,2611,false,true,ortho,0,19,chart,6->hashmap,m1
Warmup,1647,false,false,ortho,1,19,chart,6->hashmap,m1
Warmup,1570,false,false,ortho,2,19,chart,6->hashmap,m1
Warmup,1561,false,false,ortho,3,19,chart,6->hashmap,m1
Steady-state,1561,true,false,ortho,4,19,chart,6->hashmap,m1
Startup,2644,false,true,ortho,0,0,chart,8->hashmap,m1
Warmup,1601,false,false,ortho,1,0,chart,8->hashmap,m1
Warmup,1556,false,false,ortho,2,0,chart,8->hashmap,m1
Warmup,1540,false,false,ortho,3,0,chart,8->hashmap,m1
Steady-state,1537,true,false,ortho,4,0,chart,8->hashmap,m1
Startup,2620,false,true,ortho,0,1,chart,8->hashmap,m1
Warmup,1660,false,false,ortho,1,1,chart,8->hashmap,m1
Warmup,1566,false,false,ortho,2,1,chart,8->hashmap,m1
Warmup,1565,false,false,ortho,3,1,chart,8->hashmap,m1
Steady-state,1559,true,false,ortho,4,1,chart,8->hashmap,m1
Startup,2622,false,true,ortho,0,2,chart,8->hashmap,m1
Warmup,1673,false,false,ortho,1,2,chart,8->hashmap,m1
Warmup,1567,false,false,ortho,2,2,chart,8->hashmap,m1
Warmup,1558,false,false,ortho,3,2,chart,8->hashmap,m1
Warmup,1562,false,false,ortho,4,2,chart,8->hashmap,m1
Steady-state,1541,true,false,ortho,5,2,chart,8->hashmap,m1
Startup,2655,false,true,ortho,0,3,chart,8->hashmap,m1
Warmup,1619,false,false,ortho,1,3,chart,8->hashmap,m1
Warmup,1576,false,false,ortho,2,3,chart,8->hashmap,m1
Warmup,1570,false,false,ortho,3,3,chart,8->hashmap,m1
Steady-state,1562,true,false,ortho,4,3,chart,8->hashmap,m1
Startup,2648,false,true,ortho,0,4,chart,8->hashmap,m1
Warmup,1619,false,false,ortho,1,4,chart,8->hashmap,m1
Warmup,1576,false,false,ortho,2,4,chart,8->hashmap,m1
Warmup,1565,false,false,ortho,3,4,chart,8->hashmap,m1
Steady-state,1560,true,false,ortho,4,4,chart,8->hashmap,m1
Startup,2612,false,true,ortho,0,5,chart,8->hashmap,m1
Warmup,1642,false,false,ortho,1,5,chart,8->hashmap,m1
Warmup,1580,false,false,ortho,2,5,chart,8->hashmap,m1
Warmup,1609,false,false,ortho,3,5,chart,8->hashmap,m1
Steady-state,1558,true,false,ortho,4,5,chart,8->hashmap,m1
Startup,2639,false,true,ortho,0,6,chart,8->hashmap,m1
Warmup,1619,false,false,ortho,1,6,chart,8->hashmap,m1
Warmup,1578,false,false,ortho,2,6,chart,8->hashmap,m1
Warmup,1577,false,false,ortho,3,6,chart,8->hashmap,m1
Steady-state,1591,true,false,ortho,4,6,chart,8->hashmap,m1
Startup,2670,false,true,ortho,0,7,chart,8->hashmap,m1
Warmup,1625,false,false,ortho,1,7,chart,8->hashmap,m1
Warmup,1578,false,false,ortho,2,7,chart,8->hashmap,m1
Warmup,1564,false,false,ortho,3,7,chart,8->hashmap,m1
Steady-state,1550,true,false,ortho,4,7,chart,8->hashmap,m1
Startup,2610,false,true,ortho,0,8,chart,8->hashmap,m1
Warmup,1632,false,false,ortho,1,8,chart,8->hashmap,m1
Warmup,1569,false,false,ortho,2,8,chart,8->hashmap,m1
Warmup,1608,false,false,ortho,3,8,chart,8->hashmap,m1
Steady-state,1562,true,false,ortho,4,8,chart,8->hashmap,m1
Startup,2631,false,true,ortho,0,9,chart,8->hashmap,m1
Warmup,1617,false,false,ortho,1,9,chart,8->hashmap,m1
Warmup,1558,false,false,ortho,2,9,chart,8->hashmap,m1
Warmup,1556,false,false,ortho,3,9,chart,8->hashmap,m1
Steady-state,1562,true,false,ortho,4,9,chart,8->hashmap,m1
Startup,2611,false,true,ortho,0,10,chart,8->hashmap,m1
Warmup,1600,false,false,ortho,1,10,chart,8->hashmap,m1
Warmup,1584,false,false,ortho,2,10,chart,8->hashmap,m1
Warmup,1553,false,false,ortho,3,10,chart,8->hashmap,m1
Steady-state,1561,true,false,ortho,4,10,chart,8->hashmap,m1
Startup,2668,false,true,ortho,0,11,chart,8->hashmap,m1
Warmup,1672,false,false,ortho,1,11,chart,8->hashmap,m1
Warmup,1560,false,false,ortho,2,11,chart,8->hashmap,m1
Warmup,1564,false,false,ortho,3,11,chart,8->hashmap,m1
Warmup,1558,false,false,ortho,4,11,chart,8->hashmap,m1
Steady-state,1591,true,false,ortho,5,11,chart,8->hashmap,m1
Startup,2615,false,true,ortho,0,12,chart,8->hashmap,m1
Warmup,1625,false,false,ortho,1,12,chart,8->hashmap,m1
Warmup,1561,false,false,ortho,2,12,chart,8->hashmap,m1
Warmup,1566,false,false,ortho,3,12,chart,8->hashmap,m1
Steady-state,1556,true,false,ortho,4,12,chart,8->hashmap,m1
Startup,2641,false,true,ortho,0,13,chart,8->hashmap,m1
Warmup,1640,false,false,ortho,1,13,chart,8->hashmap,m1
Warmup,1569,false,false,ortho,2,13,chart,8->hashmap,m1
Warmup,1556,false,false,ortho,3,13,chart,8->hashmap,m1
Steady-state,1554,true,false,ortho,4,13,chart,8->hashmap,m1
Startup,2601,false,true,ortho,0,14,chart,8->hashmap,m1
Warmup,1625,false,false,ortho,1,14,chart,8->hashmap,m1
Warmup,1573,false,false,ortho,2,14,chart,8->hashmap,m1
Warmup,1599,false,false,ortho,3,14,chart,8->hashmap,m1
Steady-state,1560,true,false,ortho,4,14,chart,8->hashmap,m1
Startup,2605,false,true,ortho,0,15,chart,8->hashmap,m1
Warmup,1636,false,false,ortho,1,15,chart,8->hashmap,m1
Warmup,1580,false,false,ortho,2,15,chart,8->hashmap,m1
