status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Warmup,3627,false,false,ortho,3,7,avrora,1->arraylist,m1
Steady-state,3599,true,false,ortho,4,7,avrora,1->arraylist,m1
Startup,4160,false,true,ortho,0,8,avrora,1->arraylist,m1
Warmup,3745,false,false,ortho,1,8,avrora,1->arraylist,m1
Warmup,3627,false,false,ortho,2,8,avrora,1->arraylist,m1
Warmup,3627,false,false,ortho,3,8,avrora,1->arraylist,m1
Steady-state,3590,true,false,ortho,4,8,avrora,1->arraylist,m1
Startup,4259,false,true,ortho,0,9,avrora,1->arraylist,m1
Warmup,3776,false,false,ortho,1,9,avrora,1->arraylist,m1
Warmup,3668,false,false,ortho,2,9,avrora,1->arraylist,m1
Warmup,3699,false,false,ortho,3,9,avrora,1->arraylist,m1
Steady-state,3657,true,false,ortho,4,9,avrora,1->arraylist,m1
Startup,4194,false,true,ortho,0,10,avrora,1->arraylist,m1
Warmup,3736,false,false,ortho,1,10,avrora,1->arraylist,m1
Warmup,3630,false,false,ortho,2,10,avrora,1->arraylist,m1
Warmup,3650,false,false,ortho,3,10,avrora,1->arraylist,m1
Steady-state,3624,true,false,ortho,4,10,avrora,1->arraylist,m1
Startup,4242,false,true,ortho,0,11,avrora,1->arraylist,m1
Warmup,3724,false,false,ortho,1,11,avrora,1->arraylist,m1
Warmup,3646,false,false,ortho,2,11,avrora,1->arraylist,m1
Warmup,3632,false,false,ortho,3,11,avrora,1->arraylist,m1
Steady-state,3623,true,false,ortho,4,11,avrora,1->arraylist,m1
Startup,4196,false,true,ortho,0,12,avrora,1->arraylist,m1
Warmup,3743,false,false,ortho,1,12,avrora,1->arraylist,m1
Warmup,3597,false,false,ortho,2,12,avrora,1->arraylist,m1
Warmup,3593,false,false,ortho,3,12,avrora,1->arraylist,m1
Steady-state,3588,true,false,ortho,4,12,avrora,1->arraylist,m1
Startup,4254,false,true,ortho,0,13,avrora,1->arraylist,m1
Warmup,3739,false,false,ortho,1,13,avrora,1->arraylist,m1
Warmup,3628,false,false,ortho,2,13,avrora,1->arraylist,m1
Warmup,3643,false,false,ortho,3,13,avrora,1->arraylist,m1
Steady-state,3634,true,false,ortho,4,13,avrora,1->arraylist,m1
Startup,4295,false,true,ortho,0,14,avrora,1->arraylist,m1
Warmup,3734,false,false,ortho,1,14,avrora,1->arraylist,m1
Warmup,3621,false,false,ortho,2,14,avrora,1->arraylist,m1
Warmup,3659,false,false,ortho,3,14,avrora,1->arraylist,m1
Steady-state,3637,true,false,ortho,4,14,avrora,1->arraylist,m1
Startup,4223,false,true,ortho,0,15,avrora,1->arraylist,m1
Warmup,3728,false,false,ortho,1,15,avrora,1->arraylist,m1
Warmup,3638,false,false,ortho,2,15,avrora,1->arraylist,m1
Warmup,3618,false,false,ortho,3,15,avrora,1->arraylist,m1
Steady-state,3622,true,false,ortho,4,15,avrora,1->arraylist,m1
Startup,4257,false,true,ortho,0,16,avrora,1->arraylist,m1
Warmup,3684,false,false,ortho,1,16,avrora,1->arraylist,m1
Warmup,3638,false,false,ortho,2,16,avrora,1->arraylist,m1
Warmup,3621,false,false,ortho,3,16,avrora,1->arraylist,m1
Steady-state,3617,true,false,ortho,4,16,avrora,1->arraylist,m1
Startup,4154,false,true,ortho,0,17,avrora,1->arraylist,m1
Warmup,3672,false,false,ortho,1,17,avrora,1->arraylist,m1
Warmup,3597,false,false,ortho,2,17,avrora,1->arraylist,m1
Warmup,3580,false,false,ortho,3,17,avrora,1->arraylist,m1
Steady-state,3581,true,false,ortho,4,17,avrora,1->arraylist,m1
Startup,4206,false,true,ortho,0,18,avrora,1->arraylist,m1
Warmup,3762,false,false,ortho,1,18,avrora,1->arraylist,m1
Warmup,3634,false,false,ortho,2,18,avrora,1->arraylist,m1
Warmup,3630,false,false,ortho,3,18,avrora,1->arraylist,m1
Steady-state,3638,true,false,ortho,4,18,avrora,1->arraylist,m1
Startup,4296,false,true,ortho,0,19,avrora,1->arraylist,m1
Warmup,3691,false,false,ortho,1,19,avrora,1->arraylist,m1
Warmup,3622,false,false,ortho,2,19,avrora,1->arraylist,m1
Warmup,3628,false,false,ortho,3,19,avrora,1->arraylist,m1
Steady-state,3624,true,false,ortho,4,19,avrora,1->arraylist,m1
Startup,4211,false,true,ortho,0,0,avrora,2->arraylist,m1
Warmup,3737,false,false,ortho,1,0,avrora,2->arraylist,m1
Warmup,3631,false,false,ortho,2,0,avrora,2->arraylist,m1
Warmup,3607,false,false,ortho,3,0,avrora,2->arraylist,m1
