status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Warmup,1573,false,false,best,1,11,bloat,expected-best-startup,m1
Warmup,1338,false,false,best,2,11,bloat,expected-best-startup,m1
Warmup,1349,false,false,best,3,11,bloat,expected-best-startup,m1
Warmup,1335,false,false,best,4,11,bloat,expected-best-startup,m1
Steady-state,1327,true,false,best,5,11,bloat,expected-best-startup,m1
Startup,2097,false,true,best,0,12,bloat,expected-best-startup,m1
Warmup,1623,false,false,best,1,12,bloat,expected-best-startup,m1
Warmup,1369,false,false,best,2,12,bloat,expected-best-startup,m1
Warmup,1351,false,false,best,3,12,bloat,expected-best-startup,m1
Warmup,1369,false,false,best,4,12,bloat,expected-best-startup,m1
Steady-state,1337,true,false,best,5,12,bloat,expected-best-startup,m1
Startup,2116,false,true,best,0,13,bloat,expected-best-startup,m1
Warmup,1598,false,false,best,1,13,bloat,expected-best-startup,m1
Warmup,1347,false,false,best,2,13,bloat,expected-best-startup,m1
Warmup,1347,false,false,best,3,13,bloat,expected-best-startup,m1
Warmup,1329,false,false,best,4,13,bloat,expected-best-startup,m1
Steady-state,1322,true,false,best,5,13,bloat,expected-best-startup,m1
Startup,2129,false,true,best,0,14,bloat,expected-best-startup,m1
Warmup,1652,false,false,best,1,14,bloat,expected-best-startup,m1
Warmup,1405,false,false,best,2,14,bloat,expected-best-startup,m1
Warmup,1404,false,false,best,3,14,bloat,expected-best-startup,m1
Warmup,1398,false,false,best,4,14,bloat,expected-best-startup,m1
Steady-state,1385,true,false,best,5,14,bloat,expected-best-startup,m1
Startup,2128,false,true,best,0,15,bloat,expected-best-startup,m1
Warmup,1629,false,false,best,1,15,bloat,expected-best-startup,m1
Warmup,1538,false,false,best,2,15,bloat,expected-best-startup,m1
Warmup,1365,false,false,best,3,15,bloat,expected-best-startup,m1
Warmup,1399,false,false,best,4,15,bloat,expected-best-startup,m1
Warmup,1355,false,false,best,5,15,bloat,expected-best-startup,m1
Steady-state,1356,true,false,best,6,15,bloat,expected-best-startup,m1
Startup,2083,false,true,best,0,16,bloat,expected-best-startup,m1
Warmup,1602,false,false,best,1,16,bloat,expected-best-startup,m1
Warmup,1356,false,false,best,2,16,bloat,expected-best-startup,m1
Warmup,1338,false,false,best,3,16,bloat,expected-best-startup,m1
Warmup,1363,false,false,best,4,16,bloat,expected-best-startup,m1
Steady-state,1322,true,false,best,5,16,bloat,expected-best-startup,m1
Startup,2213,false,true,best,0,17,bloat,expected-best-startup,m1
Warmup,1587,false,false,best,1,17,bloat,expected-best-startup,m1
Warmup,1344,false,false,best,2,17,bloat,expected-best-startup,m1
Warmup,1330,false,false,best,3,17,bloat,expected-best-startup,m1
Warmup,1356,false,false,best,4,17,bloat,expected-best-startup,m1
Steady-state,1319,true,false,best,5,17,bloat,expected-best-startup,m1
Startup,2153,false,true,best,0,18,bloat,expected-best-startup,m1
Warmup,1665,false,false,best,1,18,bloat,expected-best-startup,m1
Warmup,1411,false,false,best,2,18,bloat,expected-best-startup,m1
Warmup,1382,false,false,best,3,18,bloat,expected-best-startup,m1
Warmup,1412,false,false,best,4,18,bloat,expected-best-startup,m1
Steady-state,1366,true,false,best,5,18,bloat,expected-best-startup,m1
Startup,2134,false,true,best,0,19,bloat,expected-best-startup,m1
Warmup,1632,false,false,best,1,19,bloat,expected-best-startup,m1
Warmup,1405,false,false,best,2,19,bloat,expected-best-startup,m1
Warmup,1355,false,false,best,3,19,bloat,expected-best-startup,m1
Warmup,1379,false,false,best,4,19,bloat,expected-best-startup,m1
Steady-state,1329,true,false,best,5,19,bloat,expected-best-startup,m1
Startup,2103,false,true,ortho,0,0,bloat,6->arraylist,m1
Warmup,1662,false,false,ortho,1,0,bloat,6->arraylist,m1
Warmup,1414,false,false,ortho,2,0,bloat,6->arraylist,m1
Warmup,1409,false,false,ortho,3,0,bloat,6->arraylist,m1
Warmup,1430,false,false,ortho,4,0,bloat,6->arraylist,m1
Steady-state,1391,true,false,ortho,5,0,bloat,6->arraylist,m1
Startup,2140,false,true,ortho,0,1,bloat,6->arraylist,m1
Warmup,1702,false,false,ortho,1,1,bloat,6->arraylist,m1
Warmup,1448,false,false,ortho,2,1,bloat,6->arraylist,m1
Warmup,1440,false,false,ortho,3,1,bloat,6->arraylist,m1
Warmup,1448,false,false,ortho,4,1,bloat,6->arraylist,m1
Steady-state,1417,true,false,ortho,5,1,bloat,6->arraylist,m1
Startup,2150,false,true,ortho,0,2,bloat,6->arraylist,m1
Warmup,1681,false,false,ortho,1,2,bloat,6->arraylist,m1
Warmup,1434,false,false,ortho,2,2,bloat,6->arraylist,m1
Warmup,1422,false,false,ortho,3,2,bloat,6->arraylist,m1
Warmup,1398,false,false,ortho,4,2,bloat,6->arraylist,m1
Steady-state,1370,true,false,ortho,5,2,bloat,6->arraylist,m1
Startup,2090,false,true,ortho,0,3,bloat,6->arraylist,m1
Warmup,1690,false,false,ortho,1,3,bloat,6->arraylist,m1
Warmup,1441,false,false,ortho,2,3,bloat,6->arraylist,m1
Warmup,1417,false,false,ortho,3,3,bloat,6->arraylist,m1
Warmup,1432,false,false,ortho,4,3,bloat,6->arraylist,m1
Steady-state,1397,true,false,ortho,5,3,bloat,6->arraylist,m1
Startup,2142,false,true,ortho,0,4,bloat,6->arraylist,m1
Warmup,1636,false,false,ortho,1,4,bloat,6->arraylist,m1
Warmup,1383,false,false,ortho,2,4,bloat,6->arraylist,m1
Warmup,1353,false,false,ortho,3,4,bloat,6->arraylist,m1
Warmup,1331,false,false,ortho,4,4,bloat,6->arraylist,m1
Steady-state,1324,true,false,ortho,5,4,bloat,6->arraylist,m1
Startup,2051,false,true,ortho,0,5,bloat,6->arraylist,m1
Warmup,1647,false,false,ortho,1,5,bloat,6->arraylist,m1
Warmup,1396,false,false,ortho,2,5,bloat,6->arraylist,m1
